"Sample" "Chromosome" "Start" "End" "Num_Probes" "Segment_Mean"
"281" "TCGA-FD-A3B7-10A-01D-A210-26" 4 148104418 152605747 NA 0.440942926444969
"282" "TCGA-FD-A3B7-10A-01D-A210-26" 6 63814 5660280 NA -0.156037696605089
"285" "TCGA-FD-A3B8-10A-01D-A210-26" 16 60001 90294729 NA -0.0273358821397191
"286" "TCGA-FD-A3B8-10A-01D-A210-26" 23 2699503 154930285 NA 0.0327613575222251
"289" "TCGA-FD-A3N5-10A-01D-A21C-26" 6 44317165 171050932 NA -0.0955242025861752
"290" "TCGA-FD-A3N5-10A-01D-A21C-26" 15 20000001 32010494 NA -0.545547383873378
"293" "TCGA-FD-A3N6-10A-01D-A21C-26" 3 60362957 60478746 NA -2.61639502153454
"294" "TCGA-FD-A3N6-10A-01D-A21C-26" 20 34183971 62965506 NA -0.0596705976054726
"297" "TCGA-FD-A3NA-10A-01D-A21C-26" 5 49551633 150135519 NA -0.0942552581652406
"298" "TCGA-FD-A3NA-10A-01D-A21C-26" 4 126241915 129194848 NA -0.433257831498876
"301" "TCGA-FD-A3SJ-10A-01D-A233-26" 9 27489874 29746925 NA 0.169912427768146
"302" "TCGA-FD-A3SJ-10A-01D-A233-26" 1 173792657 175670239 NA 1.24471530069067
"305" "TCGA-FD-A3SL-10A-01D-A233-26" 12 188219 133841505 NA -0.182399287422105
"306" "TCGA-FD-A3SL-10A-01D-A233-26" 4 189693990 191014415 NA -0.427894104774698
"309" "TCGA-FD-A3SM-10A-01D-A233-26" 4 68818 191014415 NA 0.0146938161241947
"310" "TCGA-FD-A3SM-10A-01D-A233-26" 8 37588240 38564934 NA 1.22494145713849
"313" "TCGA-FD-A3SN-10A-01D-A233-26" 5 58768314 59103278 NA 0.679421511035303
"314" "TCGA-FD-A3SN-10A-01D-A233-26" 13 27050102 87833143 NA -0.324319276758869
"317" "TCGA-FD-A3SO-10A-01D-A233-26" 8 23379 48419845 NA -0.434005574572034
"318" "TCGA-FD-A3SO-10A-01D-A233-26" 9 10001 141153413 NA 0.058427449099493
"321" "TCGA-FD-A3SP-10A-01D-A233-26" 8 43092750 43097417 NA 3.04336277414551
"322" "TCGA-FD-A3SP-10A-01D-A233-26" 18 10064 19584050 NA 0.0715882620781257
"325" "TCGA-FD-A3SQ-10A-01D-A233-26" 1 174801569 178932598 NA 0.250005637997436
"326" "TCGA-FD-A3SQ-10A-01D-A233-26" 9 93619293 94000052 NA -0.873309344786371
"329" "TCGA-FD-A3SR-10A-01D-A233-26" 18 9394393 10349109 NA 0.530418349466572
"330" "TCGA-FD-A3SR-10A-01D-A233-26" 1 145367168 147730635 NA 1.23563497416252
"333" "TCGA-FD-A3SS-10A-01D-A233-26" 5 46389437 175639955 NA -0.538298365219699
"334" "TCGA-FD-A3SS-10A-01D-A233-26" 6 121407729 122145390 NA 0.645298912027161
"337" "TCGA-FT-A3EE-10A-01D-A204-02" 4 33708672 34503662 NA 0.105441838837718
"338" "TCGA-FT-A3EE-10A-01D-A204-02" 22 16051206 51244552 NA -0.261788604248097
"341" "TCGA-G2-A2EC-10A-01D-A17R-02" 24 2649474 58844021 NA 0.0913301706855381
"342" "TCGA-G2-A2EC-10A-01D-A17R-02" 5 155105650 179550250 NA -0.44866303953823
"345" "TCGA-G2-A2EF-10A-01D-A18D-02" 8 48180587 90329793 NA -0.0446394091409028
"346" "TCGA-G2-A2EF-10A-01D-A18D-02" 11 66880142 134946455 NA -0.0250633239777246
"349" "TCGA-G2-A2EJ-10A-01D-A17R-02" 2 32222860 32415046 NA -0.617629467331965
"350" "TCGA-G2-A2EJ-10A-01D-A17R-02" 11 78758057 81264883 NA -0.576249020003528
"353" "TCGA-G2-A2EK-10A-01D-A18D-02" 3 148076113 149533806 NA -0.436122467986259
"354" "TCGA-G2-A2EK-10A-01D-A18D-02" 1 65888453 144005542 NA -0.0245890959067118
"357" "TCGA-G2-A2EL-10A-01D-A18D-02" 3 60174 25828606 NA 0.136988592875077
"358" "TCGA-G2-A2EL-10A-01D-A18D-02" 5 11769 31466816 NA 0.068512529538564
"361" "TCGA-G2-A2ES-11A-31D-A17R-02" 5 45901673 49555334 NA 0.45574195724214
"362" "TCGA-G2-A2ES-11A-31D-A17R-02" 11 26207298 30218540 NA -0.000160033704997661
"365" "TCGA-G2-A3IB-10A-01D-A210-26" 16 60001 223583 NA 0.561251033599773
"366" "TCGA-G2-A3IB-10A-01D-A210-26" 8 43428314 46921966 NA 0.475207847898585
"369" "TCGA-G2-A3IE-10A-01D-A210-26" 3 39612761 60264981 NA 0.495559264888242
"370" "TCGA-G2-A3IE-10A-01D-A210-26" 4 93594714 173425586 NA -0.293160662895868
"373" "TCGA-G2-A3VY-10A-01D-A233-26" 9 109973701 132903224 NA -0.386039301234847
"374" "TCGA-G2-A3VY-10A-01D-A233-26" 12 188219 1880680 NA -0.0591011865665831
"377" "TCGA-GC-A3BM-10A-01D-A23Q-26" 18 39622999 40749298 NA -0.444429050209849
"378" "TCGA-GC-A3BM-10A-01D-A23Q-26" 11 81013505 81387487 NA 1.47813863932257
"381" "TCGA-GC-A3I6-01A-11D-A210-26" 14 20424940 107289526 NA 0.131404191409226
"382" "TCGA-GC-A3I6-01A-11D-A210-26" 12 188219 34560974 NA 0.142121978063855
"385" "TCGA-GC-A3OO-01A-11D-A233-26" 1 10208 249240606 NA 0.0527960405418375
"386" "TCGA-GC-A3OO-01A-11D-A233-26" 20 60001 62965506 NA 0.212520376173027
"389" "TCGA-GC-A3RD-01A-12D-A233-26" 12 69198316 69372087 NA 4.35545916730313
"390" "TCGA-GC-A3RD-01A-12D-A233-26" 7 32425044 41415395 NA 0.852549524688694
"393" "TCGA-GC-A3WC-01A-31D-A233-26" 8 23379 3275420 NA -0.337312402464662
"394" "TCGA-GC-A3WC-01A-31D-A233-26" 21 37514100 38576723 NA 0.697730704202874
"397" "TCGA-GC-A3WC-11A-11D-A233-26" 4 66456541 67063379 NA 0.415428401579314
"398" "TCGA-GC-A3WC-11A-11D-A233-26" 8 43786144 146303846 NA 0.228660175848778
"401" "TCGA-GD-A2C5-10A-01D-A17R-02" 11 31360720 31984769 NA -0.0806177664337259
"402" "TCGA-GD-A2C5-10A-01D-A17R-02" 16 12144408 17594332 NA -0.449976633028893
"405" "TCGA-GD-A3OP-01A-21D-A221-26" 11 195901 134946455 NA -0.103725067423542
"406" "TCGA-GD-A3OP-01A-21D-A221-26" 5 46389437 180905246 NA -0.0997474434064362
"409" "TCGA-GD-A3OP-11A-11D-A221-26" 6 63814 42759519 NA -0.103720485767818
"410" "TCGA-GD-A3OP-11A-11D-A221-26" 16 34196882 90294729 NA -0.220063223344308
"413" "TCGA-GD-A3OQ-10A-01D-A221-26" 17 43673826 44212734 NA -0.721342656508171
"414" "TCGA-GD-A3OQ-10A-01D-A221-26" 16 60001 90294729 NA -0.0279590914074535
"417" "TCGA-GD-A3OS-01A-12D-A221-26" 10 24549423 25199875 NA 0.0797066752625248
"418" "TCGA-GD-A3OS-01A-12D-A221-26" 16 33241258 34459387 NA -0.232184795634823
"421" "TCGA-GV-A3JV-01A-11D-A221-26" 14 71221735 71931850 NA 1.32760392205331
"422" "TCGA-GV-A3JV-01A-11D-A221-26" 12 60730 19244878 NA -0.162214454113409
"425" "TCGA-GV-A3JW-01A-11D-A210-26" 23 128050183 154930285 NA 0.283849828370155
"426" "TCGA-GV-A3JW-01A-11D-A210-26" 16 25856506 26583505 NA 0.777314229943503
"429" "TCGA-GV-A3JX-01A-11D-A210-26" 22 16051206 51244552 NA -0.756450574913272
"430" "TCGA-GV-A3JX-01A-11D-A210-26" 15 22697825 102521366 NA -0.791298494359646
"433" "TCGA-GV-A3JZ-01A-11D-A21C-26" 17 12150816 12759218 NA 0.509791521326194
"434" "TCGA-GV-A3JZ-01A-11D-A21C-26" 5 23123410 27184334 NA -0.163013211330329
"437" "TCGA-GV-A3QF-01A-31D-A233-26" 1 26509374 59339528 NA -0.0952285398758193
"438" "TCGA-GV-A3QF-01A-31D-A233-26" 3 60744709 93533249 NA 0.151052036455775
"441" "TCGA-GV-A3QG-01A-11D-A221-26" 5 11769 53060372 NA -0.0423279562882088
"442" "TCGA-GV-A3QG-01A-11D-A221-26" 2 14483090 243189359 NA -0.031985504966719
"445" "TCGA-GV-A3QH-01A-11D-A221-26" 16 62764166 63596223 NA -0.391701952787151
"446" "TCGA-GV-A3QH-01A-11D-A221-26" 4 129845569 130791851 NA 0.544607886025542
"449" "TCGA-H4-A2HQ-01A-11D-A17R-02" 16 3887120 8290659 NA -0.212174077026258
"450" "TCGA-H4-A2HQ-01A-11D-A17R-02" 1 62972796 64923432 NA 1.05481458964742
"453" "TCGA-HQ-A2OE-01A-11D-A204-02" 10 104951493 105299191 NA -0.271937682930961
"454" "TCGA-HQ-A2OE-01A-11D-A204-02" 5 52184783 52518798 NA -0.230021318992407
"457" "TCGA-K4-A3WS-01A-11D-A23Q-26" 20 26213766 46534498 NA 0.374258403148417
"458" "TCGA-K4-A3WS-01A-11D-A23Q-26" 7 7788999 38637598 NA -0.0778093714176013
"461" "TCGA-K4-A3WV-01A-11D-A23Q-26" 10 76962861 77154224 NA 0.176828116408713
"462" "TCGA-K4-A3WV-01A-11D-A23Q-26" 6 6016367 6589128 NA -0.46322899113314
